pid,reviews,tag,dname,department
93,he explained initially that it takes 4-5 sitings and its total treatment cost is is about 10000 rupees but the total treatment he charged 22250 rupees including medicinesthe estimation of treatment is false,negative,Dr. Ananya Sharma,Dermatology
33,great dr definitely recommend he recommends less medicine and explain everything and provide solutions,positive,Dr. Rohit Patel,Dermatology
129,doctor came and spent 9 seconds and recommended for nose throat endoscopy & some hearing test it was night 10 and hearing test doctor is not avilable does it make sense? charges for endoscopy is 2400 rs and same doctor is going to perform i request hospital to have some humanity ground and spend some time with the patient atleast 10 mins before remondening tests in the same hospital as per the pictures at the hospital dr spent good amount time in west and europe kindly request inherit some portion of good from west on recommending tests and spending time with patients if this is situation like this i do not recommended this hospital to any one,negative,Dr. Priya Reddy,Dermatology
7,i am completely satisfied with the consultation i have been having acute severe bronchitis and acute laringitis for the last 20 days which i was not aware of i have consulted a doctor from different hospital earlier and i wasn't advised for any test or any x-ray as that doctor didn't gave me a proper treatment i had to consult dr murali i m extremely happy that i came here came to know about what actually had happened to me the dr is so friendly listened to very well and understood what issues i had and explained me well about the health issues i had and how to get away from it was advised by the doctor to consult in next 15 days,positive,Dr. Arjun Desai,Dermatology
38,my experience was nice dr dyed was cool and compose patiently listened to my medication history and gave simple treatment hopefully i should be ok post 3 course of days i will recommend people for his medication,positive,Dr. Nandini Kapoor,Psychiatry
81,doctor was not serious i explained the medical condition of my mother and the reports but he was least interested and proposed to visit another specialist in apollo jubilee hills,negative,Dr. Vikram Mehta,Psychiatry
56,the doctor is very experienced and friendly it's just been a day since i started the medicine and i can already see the result i strongly recommend him to all of you who are looking for a good dermatologist,positive,Dr. Anjali Gupta,Psychiatry
13,very friendly and decent explanation of illness and the medicine usage explanation also patient to hear the problems,positive,Dr. Raj Singhania,Psychiatry
68,the pricing and the way of treating the patients is perfect i strongly recommend,positive,Dr. Ananya Sharma,Dermatology
114,not available on time need to improve availability when emergency,negative,Dr. Rohit Patel,Dermatology
21,last time my self i was effected with bell’s palsy with the doctor treatment and his concern on his patient was very realistic,positive,Dr. Priya Reddy,Dermatology
108,worst doctor they are not at all qualified they are working only for money playing with feelings of peoples peoples think that doctors are like god but they are cheating peoples and not at all giving good treatment to peoples fake doctors,negative,Dr. Arjun Desai,Dermatology
2,i felt a lot better after the treatment though the overall experience was just moderate being the main agenda apollo is not so great in their service and hospitality also they suggest so many tests that are too expensive,positive,Dr. Nandini Kapoor,Psychiatry
5,he is good caring acurate,positive,Dr. Vikram Mehta,Psychiatry
112,i am found his name at online but i expect will get appointment through the online another day got appointment i am very joyful and next day i am dial to his mobnumber and talking about the health problem after days i go to his clinic frankly talkinghe is a very gentlemani wish good luck for the future lifei gratefulto you at my life i think that your noble character will get famous dr in gty,negative,Dr. Anjali Gupta,Psychiatry
96,visited for one month problem not resolved loss of time and money high cost medicine and lotions patient suffered a lot with use less treatment consulted another doctor with just one visit issue resolved permanently,negative,Dr. Raj Singhania,Psychiatry
123,i visited the doctor for running nose issue but very disappointed with the doctor response he spent 30 seconds with us and written tests for 13k i just came out of the consultation room i told front office guy that i am not prepared for tests then he took me to the doctor again then he wrote 3 tablets front office guys forced me to take medicines from their medical shop never go to this doctor and never suggest to any,negative,Dr. Ananya Sharma,Dermatology
90,very harsh doesn't listen to what we say i wouldn't recommend to anyone he doesn't have patience,negative,Dr. Rohit Patel,Dermatology
106,horrible dentist we had a cleaning scheduled he went on to falsely diagnose us for two fillings and gave us an elaborate bill nothing was wrong with the teeth opened a shop without any qualifications the place was dirty and reeking of urine we were scared to go near the chair as no one had cleaned it for months how unhygienic stay away,negative,Dr. Priya Reddy,Dermatology
36,i have been consulting dr husaain from last one year he is very experienced doctor and at the same time calm and polite i had sinusitis and post the treatment i never had it it's been almost 6 month's now post the treatment also he helped me with gastric issues and i'm doing pretty well thanks doc,positive,Dr. Arjun Desai,Dermatology
141,no value not satisfied after waiting for 1 hour he just spends one minute doesn’t explain anything we just need to wait hours and hours at last,negative,Dr. Nandini Kapoor,Psychiatry
125,they said they don't follow and only accept walk-ins after lot of discussions and irritating at each they confirmed appointment after 20mins of cross examiningpatient was examined remotely without touching highly dissatisfied,negative,Dr. Vikram Mehta,Psychiatry
82,she was in hurry and behaviour was not good she behaved very rude didn't give proper time she was yelling this is not the first time whenever i or my friends visited her everytime she is in hurry,negative,Dr. Anjali Gupta,Psychiatry
15,listens and explains in a nice way felt like he is the right doctor i needed to to get rid of my problem,positive,Dr. Raj Singhania,Psychiatry
101,"this biswaroop roy chowdhury chap scams vulnerable people and to prove his legitimacy he uses such terms like indo-vietnam board etc which by the way is his self creation please stay away from this self validated ""doctor"" as he's not even one he uploads his self-written research papers on his website and claims bullshit please use your head and fact check be wary of such quacks",negative,Dr. Ananya Sharma,Dermatology
55,i was totally contented with my first consultation itself the doctor did not recommend any tests but his explanation framed the correctness of the diagnosis the medications worked really well about 20 minutes of the waiting period was noticed the whole experience was quite pleasing,positive,Dr. Rohit Patel,Dermatology
95,no results and wasted money travelled multiple times from long distance assuming that we will get good results which was wrong we are fully dissatisfied by doctor's treatment,negative,Dr. Priya Reddy,Dermatology
127,he didn't listen to what i was saying didn't ask any questions didn't even give any adviceonly pay me 5000 rupees more by getting these tests done in my hospital! extremely sad,negative,Dr. Arjun Desai,Dermatology
6,the appointment was for my family member and we have visited the apollo hospital doctor was quite good and did the check up after the check he had explained the things in details for us on time appointment was taken and there was no waiting time hospital staff were cooperative and responsive with us and i would like to recommend this doctor for my friends and family members also,positive,Dr. Nandini Kapoor,Psychiatry
67,very professionalperfect hygiene clean clinicgood equipment friendly atmosphereprompt service doctor is very accessible & staff are friendly & helpful,positive,Dr. Vikram Mehta,Psychiatry
113,should have patience and should dedicate quality time to patients overall not happy and not recommended,negative,Dr. Anjali Gupta,Psychiatry
59,very professional approach highly satisfied by the medication will definately recommend his treatment,positive,Dr. Raj Singhania,Psychiatry
49,i found that drsoumya is well experienced and she can able to cure any disease by talking positive with the patient and i was satisfied by her treatment towards my wife skin issuethe course is still going let us see the result after its completly cured,positive,Dr. Ananya Sharma,Dermatology
126,i took appointment to consult this doctor but he left inbetween test and medicine were prescribed by another doctor they don't even care that we have paid 750 rps which is very high and this doctor doesn't care about it and left the patient to another doctor and left the hospital,negative,Dr. Rohit Patel,Dermatology
116,not in house doctor recommend to be available on emergency,negative,Dr. Priya Reddy,Dermatology
98,i went to see doctor for skin rashes treatmentwe explained our problems she listened to them and gave us medicine i hope my wife will be recovered soon with the medicine,negative,Dr. Arjun Desai,Dermatology
11,last year i admitted my mother in the hospital with critical condition she survived with the grace of dr murali only i always thankful to him,positive,Dr. Nandini Kapoor,Psychiatry
91,pathetic experience very harsh behaviour he doesn't has patience to listen issue first of all always interrupt immediately don't loose time and money to bare his arrogance and in patience,negative,Dr. Vikram Mehta,Psychiatry
83,my wife has fever with breathing problemthis doctor just give some antibiotic and fever medicine we did blood test but so many times we said that she has breathing problemshe did not ask for any chest x-ray after 7 days still she had breathing problem and feveri changed my doctor and check the chest xrayshe had fluid in her lungs she did not check her blood pressure not use any stethoscope plz plz plz don't visit hernow she is under medication please suggest what action i can take against this doctor,negative,Dr. Anjali Gupta,Psychiatry
53,it's a mixed experience- with facility and doctor dr murthy was very friendly and explained my problem clearly he suggested me some medication and i have to visit him after a month i am positive that the medication suggested will heal my problem within a month because i feel he has diagnosed my problem perfectlyabout the facility where i was supposed to visit dr murthy apollo clinic as rao nagar i wasnt happy the way they dealt with my appointment with doctor i had an appointment with doctor at 715pm and when i visited the facility at 716pm they said that doctor has left and i had to visit him at a different clinic unfortunately the lady at reception didn't know that the doctor was waiting for me i believe there has to sense of responsibility from them,positive,Dr. Raj Singhania,Psychiatry
0,just ten minutes of waiting period was observed during my initial consultation i am completely satisfied with the results,positive,Dr. Ananya Sharma,Dermatology
104,the treatment is not good,negative,Dr. Rohit Patel,Dermatology
22,i am happy well treated the way the doctor perceived and explained and treated was really great would recommend all my friends and family to this hospital and this doc,positive,Dr. Priya Reddy,Dermatology
70,not bad the treatment is ok,positive,Dr. Arjun Desai,Dermatology
24,dr mithil is an awesome doctori would like to recomend many of my known people to himwe had a very gud experience,positive,Dr. Nandini Kapoor,Psychiatry
136,the doctor was not available at the time when we arrived and was asked for 2hours to wait we travelled 20km with heavy traffic it took morethan an hour to reach nd we called 30min before the appointment time to confirm the appointment that time even they didn’t inform anything wouldn’t suggest this doctor who isn’t available when people need it even after taking appointment,negative,Dr. Vikram Mehta,Psychiatry
39,doc is very patient he listens to our problems the most important factor which a doctor needs to fulfil is to provide positive vibes to the patient and he knows how to do it,positive,Dr. Anjali Gupta,Psychiatry
19,explanation of the health issuevalue for moneydoctor friendliness,positive,Dr. Raj Singhania,Psychiatry
97,the support staff are very much focused on in house medicine pushing and doctor prescribed a nonbrand sun cream,negative,Dr. Ananya Sharma,Dermatology
142,gave no explanation about why the issue has occurred spent exactly 2 mins and asked to visit again after three days very disappointed,negative,Dr. Rohit Patel,Dermatology
41,doctor is nice he is listioning my problem and gave medicine today onwards i start medicines i want to see how medicine will work,positive,Dr. Priya Reddy,Dermatology
64,doctor is really cool and calm listens to the patient carefully friendly manner and responses patient's phone call after all i am quite satisfied,positive,Dr. Arjun Desai,Dermatology
58,treatment along with behavior with patient is found initial stage of treatment the test pp blood sugar & fasting both were much more higher than the normal range but after taking the advice and regular & timely having the medicine now the said suger level in the both stages found about to normal,positive,Dr. Nandini Kapoor,Psychiatry
75,there is no point in booking appointment through practoi had to wait for approximately 2 hours for my turnthey told appointments are first come first serve so there is no meaning of appt,negative,Dr. Vikram Mehta,Psychiatry
8,excellent dr has been very helpful and his medication gives wonderful results he takes out time to explain the problem and suggests how to tackle it,positive,Dr. Anjali Gupta,Psychiatry
65,i am satisfied and happy what all i had done here doctor r here experience and friendly and follow up is very good,positive,Dr. Raj Singhania,Psychiatry
87,looks like doctor is busy she talks less with patient and quering about patient history is also low she should have empathy for patient and when leaving from doctor patient should feel all his/her concerns are addressed,negative,Dr. Ananya Sharma,Dermatology
130,i personally don’t recommend having 20+ years of experience there is no proper explanation regarding the problem,negative,Dr. Rohit Patel,Dermatology
69,highly efficient and experienced in work the doctors look young but they work beyond your expectations myself hailing from a research background critically evaluate everything and this is the best place and the best team i highly recommend,positive,Dr. Priya Reddy,Dermatology
122,doesn't even talks properly to recommend any do's and dont's absolutely no value for what we pay just avoid,negative,Dr. Arjun Desai,Dermatology
79,hoped for better explanation of the health issuetreatment satisfactionvalue for money not satisfied with the prescription for tests of all types fevers such as cbp widal typhoid dengue at a go not satisfied,negative,Dr. Nandini Kapoor,Psychiatry
34,dr syed checks the patient thoroughly and the explanation about the further steps are reliable if i further need to consult any doctor i would visit dr syed,positive,Dr. Vikram Mehta,Psychiatry
103,beware! this guy has no medical or paramedical qualifications and not a doctor he is not registered as a medical professional in india or anywhere in the world please read the full story in this link and open your eyes copy & paste this link,negative,Dr. Anjali Gupta,Psychiatry
115,need to improve treatment speed slowness in treating especially when patient is on emergency needs speedy treatment,negative,Dr. Raj Singhania,Psychiatry
23,happy with doctor friendlinessexplanation of the health issuetreatment satisfactionvalue for moneywait time,positive,Dr. Ananya Sharma,Dermatology
57,he is very amicable and responsive i consulted when another doctor prescribed me insulin but i wished not to use insulin and hence took sir's advice he then assured me of getting my sugar controlled by oral medication it's been 2 years since i m under his treatment,positive,Dr. Rohit Patel,Dermatology
42,very nice and cordial explained my situation and made me comfortable very happy with his service,positive,Dr. Priya Reddy,Dermatology
46,i definitely recommend dr syed athar hussainhis treatment is very experienced way nd too friendly he proscribed very less medicine explained about medicine what he proscribed,positive,Dr. Arjun Desai,Dermatology
121,really bad experience doc was recommending endoscopy for throat pain he took less then a minute to check and have some tablet when asked about what the cause is he said we have do endoscopy to check what infection we have didn’t even took his tablet went with another doc recommended by family member,negative,Dr. Nandini Kapoor,Psychiatry
74,this radiologist is always late where many patients will be waiting for a very long time once or twice it is understandable not every time hoped for better treatment satisfaction,negative,Dr. Vikram Mehta,Psychiatry
31,doctor is experienced quite friendly gave his time to explain the issue,positive,Dr. Anjali Gupta,Psychiatry
80,hoped for better treatment satisfactionexplanation of the health issue when the doctor knew i have come to visit based on the preventative health check up report; the doctor seems to not too bothered,negative,Dr. Raj Singhania,Psychiatry
54,the consultation was simple and satisfying it was my first visit to him and the waiting time was hardly 5 minutes the diagnosis was quick as it is not a complicated issue i was not recommended for any tests the treatment was suitable for me i am happy with the results,positive,Dr. Ananya Sharma,Dermatology
72,had to return without consulting doctor as hewas not there in the hospital at appointment time fixed,negative,Dr. Rohit Patel,Dermatology
86,no sympathy towards the patient kept on asking the nurse about the patients waiting and wanted to get over as early as possible,negative,Dr. Priya Reddy,Dermatology
135,very much show of of professionalism when actually very lessfinancial aspect is more unnecessary advice of treatmentdoctor consultation less others concern is more,negative,Dr. Arjun Desai,Dermatology
27,visited the doctor for a fever since dengue was so common i thought he will be suggesting for a test since i had little shivering but he explained me and he told if fever didn't go off within a day we can proceed wait time is bill when i visited ! and very friendly too,positive,Dr. Nandini Kapoor,Psychiatry
1,i visited him only once and the outcome was good as expected i am satisfied with the treatment the wait time was 15 min as observed i had been there with cold and cough issues,positive,Dr. Vikram Mehta,Psychiatry
140,my mother has visited the doctor because of her ear infection the doctor had immediately suggested to go for many tests immediately,negative,Dr. Anjali Gupta,Psychiatry
66,very cordial explained indepth for me to understand my teeth needs neat and clean place highly recommended,positive,Dr. Raj Singhania,Psychiatry
3,i would recommend everyone for the samealways treat patients with compassionate and careand no unwanted investigation proper treatment,positive,Dr. Ananya Sharma,Dermatology
124,he demanded some more reports & which were costlydid not give any suggestion 4seems to be more costly affair @it should be avoided please,negative,Dr. Rohit Patel,Dermatology
84,i went to get my mother checked for getting numbness and pain in hand during night doctor was interested to know who was the patient yelling outside in apollo kondapur then checking my mother i got the tests recommended by her done a day before only but she insisted on getting it done again looks like doctors in apollo are just to make money,negative,Dr. Priya Reddy,Dermatology
89,i will never ever recommend this doctormy sister went to her for chemical peelshe said that it needs hi ranged treatment and took rs7000 from her not only that this doctor literally forced her to take costly medicine directly from her to get perfect resultas my sister said that she did not have moneyimmediately this doctor tells her to go to the atm and bring the money and take the medicines only from the doctor other wise no result will be visibleso my sister did what exactly she asked but after 15 days so the doctor wanted to see her again she paid for the cab and went but the doctor didn’t show upagain the next day the doctor called hershe went she had to pay that much moneythe doctor again gave another round of medicine and said next time she will do it again for free if it doesn’t worknow yesterday when my sister went the doctor’s first question was why she didn’t buy the medicine directly from doctor’s clinic my sister said that the value for rs70000 she followed exactly what the doctor said so this time the doctor said that she won’t do it for free and she will again charge rs7000 for that and then she said my sister to take another costly medicinemy sister left the clinic with disgust,negative,Dr. Arjun Desai,Dermatology
85,having the cold and cough problem its a pretty expensive treatment i was prescribed some medicines and test which amoun to more than 3100 total i have to shell out more than 3100 rs for cold and cough treatment unbelievable,negative,Dr. Nandini Kapoor,Psychiatry
26,happy with explanation of the health issuetreatment satisfactionvalue for money,positive,Dr. Vikram Mehta,Psychiatry
47,i visited this clinic for acne and pigmentation which i was suffering from past few years i have been using all kinds of medicines and creams from various drs but i couldn’t see any difference aria clinic was referred by my friend and frankly this was my last try dr soumya explained me in detailed and more over made me understand the reasons of my acne,positive,Dr. Anjali Gupta,Psychiatry
73,had a bad experience we booked an appointment as per the availability shown on the practo app but the doctor was neither available at apollo sugar clinic mayfair garden nor at apollo jubilee hills,negative,Dr. Raj Singhania,Psychiatry
18,happy with explanation of the health issue it was good suggested some medicine need to wait for some more time to see the resultmedication given for 2 weeks,positive,Dr. Ananya Sharma,Dermatology
44,doctor is very friendly he asked to do the exact investigation related to health issue,positive,Dr. Rohit Patel,Dermatology
118,this doctor does not listen he is sitting with an array of test which by the way he will suggest to be done from his own hospital then and there despite doing majority of tests he will say nothing about the test reports not give any info and ask the next set of tests to be donefrom his hospital ofcourse the next day have never really come across such medical professionals ever in my life before do not recommend him at all,negative,Dr. Priya Reddy,Dermatology
111,"the doctor is more interested in saying ""no"" and ""nothing"" instead of explaining what may be wrong or ok and how to go about managing the symptoms he also does not say anything about the illness or related issues such as diet or lifestyle unless you specifically ask him",negative,Dr. Arjun Desai,Dermatology
92,pathatiche is very harsh and not listing actual issue,negative,Dr. Nandini Kapoor,Psychiatry
60,i really like the doctor because he is very friendly and promptthe thing i liked about him the most is that when i first meet him or went to him for checkup he didn't made me wait and handled my situation with giving much importance,positive,Dr. Vikram Mehta,Psychiatry
61,very humble and patient doctor patiently heard my symptoms and advised me about it broadly when called received my message promptly and gave advise,positive,Dr. Anjali Gupta,Psychiatry
29,happy with doctor friendlinessexplanation of the health issuetreatment satisfaction i like the way he explains he is easy to talk and a good listener for a patient that's really important,positive,Dr. Raj Singhania,Psychiatry
32,i went for viral fever treatment i was suspecting malaria/typhoid but he checked properly and gave good medicine after 2 dosages i am fine very friendly attitude while discuss the problem recommended,positive,Dr. Ananya Sharma,Dermatology
100,he scams peoplewhy you give hope man when you aren't able to di that you should be with realitya doctor is next to god,negative,Dr. Rohit Patel,Dermatology
37,he will go through the end of the problem and then explain it in such a simple way where patient get relaxed of their illness he gave ample of time to hear your problems out properly thank you doc,positive,Dr. Priya Reddy,Dermatology
94,good but he prescribing too much cost of medicines its over to middle class people budget so they may not take so i requst to doctor plz prescribe thier economical level,negative,Dr. Arjun Desai,Dermatology
40,doctor sir well experienced & nicely discussed with patient in friendly manner and given necessary medicines he was advised good habbilts what to do & not to do taken good care,positive,Dr. Nandini Kapoor,Psychiatry
76,doctor is not interested in even acknowledging any question patient asksforget answering felt like i was talking to myself,negative,Dr. Vikram Mehta,Psychiatry
120,for endoscopy they have charged around 4000 and the doctor is not at all courteous or respectful never had such an bad experience in a hospital very unprofessional and extremely high pricing,negative,Dr. Anjali Gupta,Psychiatry
138,doctor said it is done in my experience with the doctor and after using the prescribed tablets i am not satisfied,negative,Dr. Raj Singhania,Psychiatry
134,doctor is not available i called hospital team for confirmation of the appointment they said to come and when i reach hospital they were saying not available,negative,Dr. Ananya Sharma,Dermatology
10,good person explains decease for out patients he is busy call hospital and know the rounds time otherwise you have to wait no extra medicine prescribed,positive,Dr. Rohit Patel,Dermatology
62,the experience was great the doctor is very friendly he does his work greatly with good determination very nice,positive,Dr. Priya Reddy,Dermatology
132,too much medical tests refers for investigating problems charges are very highso be prepared for all medical tests even after doing treatment is done fair,negative,Dr. Arjun Desai,Dermatology
99,they gave me expired medicine after checking at home i called them the literally didn't bother i went to the clinic for exchanging the medicine the doctor himself gave another medicine which is also expired when i asked to refund they said they won't refund when i shouted they gave the refund,negative,Dr. Nandini Kapoor,Psychiatry
51,dr sowmya welcomes the patients with her pleasant smileshe explains the issues clearley to the patients and advice how to take the precautions to takewe visited for my husband skin infection which he was facing from many days and no result with other medicationsgot improvement with in 1 weekwe are happy with her treartmentshe will not be in a rush to treat the patients in 5 to 10 minutes like some doctorsshe explains about the problem in detail and gives correct medicationgood doctoronly thing is the waiting time and the cost of the medicines,positive,Dr. Vikram Mehta,Psychiatry
139,no minimum diagnosis straight away he preferred 4 tests not happy with the way they treat im not satisfied,negative,Dr. Anjali Gupta,Psychiatry
45,i am satisfied with doctor treatment the way he is treating is very nice i will give 100% percent mark's to doctor,positive,Dr. Raj Singhania,Psychiatry
105,she don't care and most important - she don't talk communicate to the patients keeps chatting on mobile in front of the patients she is one of the most expensive doctor when we asked her few of our doubts she said everything is fine she did not even looked at us or examined i am really doubtful that she is among top endocrinologists really sad about my experience i wasted 850 rupeesi could have given this to some orphanag,negative,Dr. Ananya Sharma,Dermatology
35,i have visited doctor several times for varied medical issues for all my family members everytime i find his diagnosis spot on without many tests he is friendly and understands the problem i found him most trusted doctor in apollo,positive,Dr. Rohit Patel,Dermatology
63,good behavior good responce etc but all are satisfactory i am very glad to met him as doctor his personality is so nice god bless him,positive,Dr. Priya Reddy,Dermatology
48,i recommend the doctor,positive,Dr. Arjun Desai,Dermatology
128,firstly wait is for long time don't think patients are moredoctor arrived late consulted him for tonsils issue and informed we are not ready for surgery right now and requested for some temporary relief through medicines he suggested endoscopy of nose and throat even after explaining we are not ready for surgery the cost for the below 1 minute procedure was rs2400 i was pretty disappointed by his consultation after looking into the reports he just said everything in medical terms in fraction of seconds and asked to come when we are ready for surgey no detail explanation which is required was provided by doctor so i won't recommend this doctor,negative,Dr. Nandini Kapoor,Psychiatry
50,as soon as i told my concern instead of discussing whether can be cured with medication or not she started suggesting chemical peel treatment,positive,Dr. Vikram Mehta,Psychiatry
25,happy with doctor friendlinessexplanation of the health issuetreatment satisfactionvalue for moneywait time dr mithil is an awesome doctori would like to recomend many of my known people to himwe had a very gud experience,positive,Dr. Anjali Gupta,Psychiatry
12,he says the problem to the point problem identification is very goodexplanation of health issue is very nice,positive,Dr. Raj Singhania,Psychiatry
133,expected more time to discuss about problem but within 5mints he checked and wrote for some tests,negative,Dr. Ananya Sharma,Dermatology
52,doctor was very nice explained clearly what type treatment required his receiving with patients was cool,positive,Dr. Rohit Patel,Dermatology
